City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
119,kapuskasing,49.4169,-82.4331,277.15,87,100,5.14,CA,1682639968
120,al mijlad,11.0333,27.7333,304.74,37,100,4.15,SD,1682639968
121,adi keyh,14.8444,39.3772,289.75,60,76,1.15,ER,1682639968
122,zaozersk,69.4005,32.4476,265.88,95,25,2.01,RU,1682639969
123,ancud,-41.8697,-73.8203,286.14,94,100,4.99,CL,1682639886
124,zajecar,43.9036,22.2641,277.91,74,10,2.44,RS,1682639969
125,kodiak,57.79,-152.4072,278.88,75,100,4.63,US,1682639587
126,port elizabeth,-33.918,25.5701,291.54,91,40,2.57,ZA,1682639869
127,uglegorsk,49.0833,142.0333,275.96,78,18,4.27,RU,1682639970
128,keflavik,64.0049,-22.5624,275.1,86,40,4.12,IS,1682639855
129,arawa,-6.2132,155.5367,303.82,69,17,1.97,PG,1682639971
130,natal,-5.795,-35.2094,300.51,83,20,2.57,BR,1682639971
131,hawaiian paradise park,19.5933,-154.9731,299.88,73,75,6.17,US,1682639971
132,robertsport,6.7533,-11.3686,301.43,81,15,4.57,LR,1682639971
133,fortuna,40.5982,-124.1573,293.67,69,11,1.34,US,1682639762
134,zeya,53.75,127.2667,278.16,50,46,2.06,RU,1682639875
135,minab,27.1467,57.0801,296.33,60,80,0.51,IR,1682639972
136,ust-nera,64.5667,143.2,270.91,80,23,0.93,RU,1682639877
137,tura,25.5198,90.2201,295.71,55,47,1.09,IN,1682639973
138,isafjordur,66.0755,-23.124,271.34,65,8,2.9,IS,1682639907
139,santa cruz,-17.8,-63.1667,296.18,83,40,3.09,BO,1682639918
140,sinabang,2.4803,96.3801,299.21,85,100,0.65,ID,1682639905
141,qaqortoq,60.7167,-46.0333,274.6,82,7,1.72,GL,1682639973
142,oamaru,-45.0784,170.9801,288.92,68,3,6.37,NZ,1682639974
143,fort bragg,35.139,-79.006,291.94,86,100,3.09,US,1682639974
144,center,31.5107,-96.4247,295.51,55,9,0.45,US,1682639974
145,mizdah,31.4451,12.9801,290.22,48,1,3.36,LY,1682639974
146,olonkinbyen,70.9221,-8.7187,271.34,95,100,10.82,SJ,1682639844
147,tsiombe,-25.3,45.4833,294.08,86,0,4.76,MG,1682639906
